# 由 tools/corpus/glossary_es.py 生成（Azure Translator F0）。词	[词性. ]译词	[词性. ]译词
㕮	v. masticar
回春	v. revivir
回春胶囊	n. Cápsulas de Rejuvenecimiento
回暖	v. calentar
回本	v. recuperar coste
回村	v. volver al pueblo
回来	v. volver
回来之后	phr. tras regresar
回来了	v. devuelto
回来了吗	phr. ¿Has vuelto?
回来了呀	phr. has vuelto
回来了啊	phr. has vuelto
回来再说	phr. hablaremos cuando volvamos
回来后	phr. tras regresar
回来吧	v. volver
回来咯	phr. has vuelto
回来啊	phr. vuelve
回来时	phr. cuando regresó
回来的	phr. volvió
回林乡	n. Municipio de Huilin
回校	v. volver a la escuela
回档	v. revertir
回植	v. replantar
回次	n. la próxima vez
回民	n. Pueblo Hui
回民公墓	n. Cementerio Público de Huimin
回民小学	n. Escuela Primaria Huimin
回民村	n. Aldea Huimin
回民果园	n. Huertos del pueblo Hui
回民营	n. Hui Minying
回民餐厅	n. restaurante chino Hui
回水	n. contraataque
回汕	v. volver a Shantou
回汕头	phr. regreso a Shantou
回波	n. echo
回流	v. volver
回流法	n. método del reflujo
回涨	v. rebotar
回港	v. volver a puerto
回游	v. migrar
回溯	v. retroceder
回溯法	n. método de retroceso
回溯算法	n. algoritmo de retroceso
回滚	v. revertir
回滚事务	n. transacciones de rollback
回潮	v. recuperar la humedad
回澜阁	n. Pabellón Huilan
回火	v. templar
回炉	v. recalentar
回状头皮	n. cuero cabelludo redondeado
回环	v. circular alrededor
回生	v. revivir
回生再造丸	n. Píldora de Regeneración Regenerativa
回生甘露丸	n. Huisheng Ganlu Pill
回生第一丹胶囊	n. Cápsulas Huisheng Yidan
回电	v. llamar de nuevo
回盲部	n. región ileoocular
回看	v. mirar atrás
回眸	v. mirar atrás
回礼	v. devolver un regalo
回神	v. venir a
回禀	v. informar
回程	n. viaje de regreso
回窜	v. huir de vuelta
回笼	v. volver a vaporizar
回答	v. responder
回答我	phr. respóndeme
回答模式	n. modo de respuesta
回答说	v. respondió
回答问题	phr. responder preguntas
回纥	n. Uigures
回绕	v. enrollarse alrededor
回绝	v. rechazar
回翔	v. círculo
回肠	n. ileum
回苏林	n. Regreso a Sulin
回荡	v. eco
回落	v. retroceder
回血	v. recuperar HP
回见	int. hasta luego
回访	v. volver a visitar
回话	v. responder
回请	v. devolver una cena
回调	v. retirar
回调函数	n. función de callback
回调接口	n. interfaz de callback
回调方法	n. método de callback
回调机制	n. mecanismo de retroceso
回调模式	n. modo de llamada
回购	v. comprar de nuevo
回购协议	n. acuerdo de recompra
回赠	v. dar a cambio
回趟	v. volver atrás
回跌	v. retroceder
回路	n. circuito
回身	v. girar
回车	v. entrar
回车符	n. permiso de retorno
回车键	n. Tecla enter
回转	v. girar
回迁	v. moverse hacia atrás
回过	v. volver atrás
回返	v. volver
回还	v. volver
回退栈	n. backstack
回送	v. volver
回避	v. evitar
回避决定	n. evitar decisiones
回避制度	n. sistema de evitación
回采	v. otener
回销	v. revender
回锅	v. recalentar
回锅肉	n. cerdo cocido dos veces
回音	n. echo
回音壁	n. muro de eco
回音消除	n. echo es eliminado
回顾	v. repasar
回顾展	n. retrospectiva
回馈	v. devolver
回首	v. mirar atrás
回马枪	n. cambiando el rumbo
回驳	v. refutar
回鹘	n. Uigures
回龙场乡	n. Municipio de Huilongchang
回龙埔	n. Huilongpu
回龙寺	n. Templo Huilong
回龙村	n. Aldea de Huilong
回龙桥	n. Puente de Huilong
回龙河办事处	n. Oficina de Huilonghe
回龙湾村	n. Aldea de Huilongwan
回龙观东站	n. Estación Este de Huilongguan
回龙观北站	n. Estación Huilongguan Norte
回龙观医院	n. Huilongguan Hospital
回龙观地区	n. Zona de Huilongguan
回龙观小区	n. Comunidad Huilongguan
囟	n. fontanelle
因	conj. por lo tanto
因为	conj. porque
因为什么	phr. ¿Por qué motivo?
因为他	phr. por su culpa
因为他是	phr. porque lo es
因为会	phr. porque así será
因为你	conj. por tu culpa
因为你是	phr. porque tú eres
因为她	phr. por su culpa
因为它	phr. por eso
因为工作	phr. por el trabajo
因为当时	phr. porque en ese momento
因为我	phr. por mi culpa
因为我在	phr. porque estoy aquí
因为我是	phr. porque yo sí
因为是	phr. porque lo es
因为有	phr. porque sí
因为有你	phr. por tu culpa
因为没有	phr. porque no lo hay
因为爱	phr. por amor
因为爱你	phr. porque te quiero
因为爱情	phr. por amor
因为现在	phr. porque ahora
因为自己	phr. por su culpa
因为被	phr. por ser
因为要	phr. porque lo necesitan
因为这些	conj. por estas razones
因为这样	phr. por esto
因为那	conj. por eso
因之	conj. y así fue
因事	phr. por ciertos motivos
因他	phr. por su culpa
因你	prep. por tu culpa
因公	adv. por asuntos públicos
因其	conj. por esto
因功	phr. por sus méritos
因受	phr. y así lo aceptó
因受到	v. debido a
因在	phr. porque él estaba presente
因子	n. factor
因子分析	n. análisis factorial
因子分解	n. descomposición factorial
因子分解法	n. método de factorización factorial
因州	n. y en la prefectura
因应	v. responder a
因式分解	n. factorización
因循	v. seguir
因循守旧	phr. mantener las viejas costumbres
因故	adv. porque
因数	n. factores
因材施教	phr. enseñanza según la aptitud
因村镇	n. Pueblos y ciudades
因果	n. karma
因果性	n. causalidad
因果报应	n. karma y retribución
因果推理	n. causa y efecto
因果联想	n. asociación causa-efecto
因果逻辑	n. lógica causal
因此	conj. por lo tanto
因此在	phr. por lo tanto
因此而	adv. por lo tanto
因涉嫌	phr. por sospecha
因特网	n. Internet
因特网协会	n. Asociación de Internet
因特网工程	n. Ingeniería de Internet
因特网电话	n. Teléfonos por Internet
因由	n. motivo
因病	phr. debido a una enfermedad
因祸得福	phr. fortuna en desgracia
因素	n. factores
因纽	n. Conectando los mandos
因纽特犬	n. Inuit Terrier
因缘	n. destino y causa
因而	conj. por lo tanto
因而在	phr. así es
因而得名	phr. así recibió su nombre
因茨	n. Por esto
因袭	v. heredar
囡	n. hija
团	n. regimiento
团乐村	n. Pueblo de Tuanle
团乡村	n. Aldea Tuan
团伙	n. banda
团体	n. grupos
团体保险合同	n. contratos de seguro grupal
团体协约法	n. ley de Convenios Colectivos
团体操	n. ejercicios en grupo
团体赛	n. competición por equipos
团华村	n. Aldea Tuanhua
团员	n. miembro de la liga
团团	n. Tuantuan
团团转	phr. girar en círculos
团团长	n. líder de regimiento
团园	n. tuanyuan
团圆	v. reunir
团圆汤	n. sopa de reunión
团圆节	n. Festival de la Reunión
团圆饭	n. cena de reunión
团坝乡	n. Municipio de Tuanba
团坝镇	n. Ciudad de Tuanba
团城山	n. Montaña Tuancheng
团城山街道	n. Subdistrito de Tuanchengshan
团埠村	n. Aldea Tuanbu
团子	n. dumplings
团安村	n. Aldea Tuan'an
团山	n. Tuanshan
团山子	n. Tuanshanzi
团岛	n. Tuandao
团岛湾	n. Bahía de Tuandao
团庄村	n. Aldea de Tuanzhuang
团徽	n. Emblema del regimiento
团战	n. peleas en equipo
团扇	n. abanico redondo
团拜	n. reverenciados juntos
团旗	n. bandera del regimiento
团日	n. Día de la reunión
团柏乡	n. Municipio de Tuanbai
团桂路口	n. Intersección con Tuangui Road
团歌	n. canción del grupo
团河农场	n. Granja Tuanhe
团河北村	n. Pueblo Tuanhe Norte
团河村	n. Pueblo Tuanhe
团河行宫	n. Palacio Tuanhe
团河路	n. Carretera Tuanhe
团河路口	n. Intersección de Tuanhe Road
团泊镇	n. Pueblo de Tuanbo
团的成员	n. miembros del regimiento
团章	n. Emblema del grupo
团粉	n. bolas de pólvora
团练	n. milicia
团结	v. unir
团结东路	n. Unir la Ruta Oriental
团结南路	n. Ruta Sur de Tuanjie
团结市场	n. Unificación del mercado
团结湖	n. Lago Tuanjie
团结湖公园	n. Parque del lago Tuanjie
团结湖北口	n. Tuanjie Hubeikou
团结湖路	n. Carretera Tuanjie Lake
团结街	n. Calle Tuanjie
团结西路	n. Ruta Tuanjie Oeste
团结路	n. Camino de la Unidad
团聚	v. reunir
团聚牡蛎	n. reunión de ostras
团购	n. compras en grupo
团费	n. cuotas de grupo
团长	n. líder de regimiento
团队	n. equipo
团队为赢	phr. El equipo gana
团队协作	n. trabajo en equipo
团队合作	n. trabajo en equipo
团队建设	n. formación de equipos
团队开发	phr. desarrollo del equipo
团队成员	n. miembros del equipo
团队管理	n. gestión del equipo
团风	n. Un viento redondo
团风弧形虫	n. Circumventus arcinum
团黄公路	n. Autopista Tuanhuang
团龙	n. tuanlong
囤	v. acumular
囤了	v. acumular
囤积	v. acaparar
囤货	v. almacenar bienes
囫	adj. whole
囫囵吞枣	phr. tragar dátiles enteros
园	n. jardín
园丁	n. jardinero
园丁公寓	n. Apartamento del jardinero
园丁小区	n. Comunidad de jardineros
园东花园	n. Jardín Este
园内	n. dentro del jardín
园冶	n. Jardín y fundición
园北	n. al norte del jardín
园区	n. el parque
园区总站	n. terminal del Parque
园区网	n. red de parques
园南新村	n. Aldea Nueva de Yuannan
园县	n. Condado de Yuan
园圃	n. jardín
园地	n. parcela de jardín
园坂村	n. Aldea Yuanban
园墩	n. Montículo del jardín
园子	n. yuanzi
园子岔乡	n. Municipio de Yuanzicha
园宏胡同	n. Yuanhong Hutong
园山	n. Yuanshan
园山东	n. al este del jardín
园山仔	n. Yuanshanzi
园岭	n. Yuanling
园岭东路	n. Carretera Yuanling Este
园岭中路	n. Calle Media de Yuanling
园岭仔	n. Yuanlingzi
园岭市场	n. Mercado de Yuanling
园岭林场	n. Granja Forestal Yuanling
园岭西路	n. Carretera Yuanling Oeste
园市	n. Mercado de jardín
园市立	n. escuela En City
园庄	n. finca jardín
园底	n. suelo del jardín
园明新园	n. Jardín Yuanmingxin
园景胡同	n. Yuanjing Hutong
园林	n. jardines
园林场	n. granja de jardín
园林基地	n. base del jardín
园林大酒店	n. Garden Grand Hotel
园林村	n. aldea Yuanlin
园林西	n. Al oeste del jardín
园林路	n. calle Yuanlin
园田	n. campos de jardín
园美	adj. jardín hermoso
园美村	n. Aldea Yuanmei
园艺	n. horticultura
园艺厂	n. plantas hortícolas
园艺师	n. horticultor
园艺村	n. Aldea Jardín
园艺疗法	n. terapia hortícola
园艺研究所	n. instituto de Investigación Hortícola
园艺路	n. Carretera Yuanyi
园长	n. director
园陵	n. tumbas imperiales
困	adj. atrapados
困乏	adj. cansancio
困了	phr. tengo sueño
困住	v. atrapar
困倦	adj. somnolencia
困到	v. sentir sueño
困厄	n. adversidad y dificultades
困困	adj. kunkun
困在	v. quedar atrapado en
困境	n. situación
困守	v. sitiar
困局	n. un dilema
困得	adj. somnoliento
困惑	adj. confusión
困意	n. somnolencia
困扰	v. la molestia
困死	v. muerto de cansancio
困死了	phr. exhausto
困窘	adj. angustiado
困苦	adj. dificultad
困难	n. difícil
困顿	adj. angustiado
囱	n. accidente
围	v. rodear
围产期	n. periodo perinatal
围产期保健	n. cuidados perinatales
围仔	n. wai Jai
围内	n. dentro del cerco
围击	v. sitiar
围剿	v. sitiar
围嘴儿	n. babero
围困	v. sitiar
围场	n. los terrenos de caza
围坐	v. sentarse
围垦	v. reclamar tierras de
围城	n. y sitió la ciudad
围堰	n. cofferdam
围堵	v. sitiar
围堵政策	n. política de contención
围墙	n. muro
围墙巷	n. Callejón de las Pared
围头村	n. Pueblo Weitou
围子里	n. y sitió Zili
围寨	n. y sitió el campamento
围屏	n. y rodearon la pantalla
围巾	n. pañuelos
围拢	v. rodear
围捕	v. rodear y capturar
围攻	v. sitiar
围术期	n. y sitió Shuqi
围栏	n. valla
围栏养殖	n. reproducción en recintos
围棋	n. Ve
围歼	v. rodear y aniquilar
围沙蚕	n. y sitió Shacan
围猎	v. cazar
围田	n. y sitió los campos
围着	v. rodear
围笑	v. sonreír
围绕	v. rodear
围绕太阳	phr. rodeando el sol
围绕着	v. rodear
围网	n. recinto
围聚	v. reunirse alrededor
围肚	n. enróllate alrededor del vientre
围脖	n. neck Wei
围脖儿	n. weibo'er
围腰	n. cinturón
围蛹	n. rodeando la pupa
围裙	n. delantal
围裹	v. envolver
围观	v. observar alrededor
围里	n. Rodeado por dentro
围鼻猪鰕虎鱼	n. cerdo nariz, gambas, gobios
囵	n. bound
囷	n. granero
囹	n. encarcelamiento
囹圄	n. prisión
固	adj. gu
固义	n. Firmemente en principio
固件	n. firmware
固件库	n. biblioteca de firmware
固体	n. sólido
固体乳胶	n. látex macizo
固体培养基	n. medio sólido
固元颗粒	n. Gránulos Guyuan
固化	v. solidificar
固原	n. Guyuan
固原县	n. Condado de Guyuan
固原地区	n. Área de Guyuan
固原市	n. Ciudad de Guyuan
固始	n. Gushi
固守	v. mantener firme
固安	n. Gu'an
固安工业园区	n. Parque Industrial de Gu'an
固定	v. fijar
固定义齿	n. dentaduras fijas
固定价格法	n. método de precio fijo
固定修复	n. fijación y reparación
固定再保险合同	n. contratos de reaseguro fijo
固定器	n. encuadernaciones
固定字长	n. longitud fija de carácter
固定存储器	n. memoria fija
固定宽度	n. ancho fijo
固定性药疹	n. erupción fija de fármacos
固定桥	n. puente fijo
固定的	adj. fijo
固定矫治器	n. electrodomésticos fijos
固定资产	n. activos fijos
固定资本	n. capital fijo
固态	n. sólido
固态存储	n. almacenamiento en estado sólido
固态存储器	n. memoria de estado sólido
固态盘	n. unidad de estado sólido
固态硬盘	n. unidades de estado sólido
固执	adj. terco
固有	adj. inherente
固有特征	n. características inherentes
固本丸	n. Guben Pill
固本咳喘片	n. Tabletas Guben Ke Chuan
固本咳喘胶囊	n. Cápsulas Guben Ke Chuan
固本回元口服液	n. Líquido Oral Guben Huiyuan
固本延龄丸	n. Píldora Guben Yanling
固本强身胶囊	n. Cápsulas Guben Qiangshen
固步自封	phr. firmes a su manera
固沙林	n. gushalin
固沙植物	n. plantas fijadoras de arena
固然	adv. ciertamente
固着底栖生物	n. organismos bentónicos sesile
固精丸	n. Píldora Gujing
固精麦斯哈片	n. Tabletas Gujing Mesiha
固肠止泻丸	n. Píldora Guchang Zhixie
固肠胶囊	n. Cápsulas de Guchang
固镇	n. Guzhen
固阳	n. Guyang
固院村	n. Pueblo Guyuan
固额	n. cuotas fijas
国	n. país
国丧	n. la nación está perdida
国中	n. escuela secundaria
国乐	n. música nacional
国书	n. carta nacional
国事	n. asuntos de Estado
国产	adj. doméstico
国产剧	n. un drama doméstico
国产化	n. localización
国产片	n. cine nacional
国京路	n. Capital Road
国人	n. natural del estado
国仇	n. enemistad nacional
国企	n. empresas estatales
国优	n. el país es excelente
国会	n. parlamento
国会议员	n. miembro del Parlamento
国体	n. entidad política nacional
国信	n. Guoxin
国信嘉园	n. Guoxin Jiayuan
国信证券	n. Guosen Securities
国债	n. deuda nacional
国债回购	n. recompra de bonos gubernamentales
国光	n. Guoguang
国光路	n. Carretera Guoguang
国公	n. duque del estado
国共	n. El Estado es comunista
国兴胡同	n. Guoxing Hutong
国兴路	n. Carretera Guoxing
国内	n. doméstico
国内外	n. nacionales e internacionales
国内旅客列车	n. trenes de pasajeros nacionales
国内经济公证	n. notarización económica interna
国内运营权	n. derechos de explotación nacionales
国军	n. ejército Nacional
国军第	phr. La residencia militar nacional
国别	n. por país
国剧	n. drama nacional
国力	n. fuerza nacional
国务	n. asuntos de Estado
国务卿	n. Ministro de Estado
国务委员	n. Consejero de Estado
国务院	n. Consejo de Estado
国势	n. poder nacional
国医	n. médico Nacional
国华	n. Guohua
国华纪念中学	n. Escuela Secundaria Memorial Guohua
国史	n. historia Nacional
国史馆	n. museo Nacional de Historia
国号	n. el nombre del estado
国合公司	n. Compañía Guohe
国君	n. el gobernante
国和一村	n. Pueblo Guohe
国和新村	n. Nueva Aldea Guohe
国和路	n. Calle Guohe
国土	n. territorio
国境	n. frontera nacional
国境线	n. límite
国外	n. en el extranjero
国太桥乡	n. Municipio de Guotai Bridge
国姓	n. el apellido imperial
国威	n. prestigio nacional
国威路	n. Guowei Road
国子监	n. La Academia Imperial
国学	n. Estudios Nacionales
国学巷	n. Callejón Guoxue
国学胡同	n. Guoxue Hutong
国安	n. el país está seguro
国安法	n. ley de Seguridad Nacional
国定	adj. nacional
国定路	n. Guoding Road
国宝	n. tesoro nacional
国宴	n. banquete de Estado
国家	n. país
国家一级	n. nivel Nacional 1
国家专营企业	n. empresa Nacional Exclusiva
国家主席	n. el Presidente del Estado
国家产业政策	n. políticas industriales nacionales
国家人事局	n. Oficina Nacional de Personal
国家体育馆	n. Estadio Nacional
国家保密法	n. Ley de Secreto Estatal
国家元首	n. jefe de Estado
国家公务员	n. funcionario nacional
国家公园	n. parques nacionales
国家公证	n. notarización estatal
国家公诉人	n. fiscal estatal
国家农业委员会	n. Comité Nacional de Agricultura
国家出版局	n. Administración Nacional de Publicaciones
国家发展	n. desarrollo nacional
国家图书馆	n. Biblioteca Nacional
国家土地管理局	n. Administración Nacional de Tierras
国家安全	n. seguridad nacional
国家安全工作	n. trabajo en seguridad nacional
国家宝藏	n. tesoro nacional
国家审判机关	n. órganos judiciales nacionales
国家工作人员	n. personal estatal
国家干预	n. intervención estatal
国家建设用地	n. terrenos nacionales de construcción
国家恐怖主义	n. terrorismo de Estado
国家房管局	n. Administración Nacional de Vivienda
国家所有制	n. propiedad estatal
国家教育委员会	n. Comisión Nacional de Educación
国家旅游局	n. Administración Nacional de Turismo
国家机关	n. órganos estatales
国家机关工作人员	n. personal de agencias estatales
国家机构	n. instituciones nacionales
国家杜马	n. Duma Estatal
国家杯	n. Copa de Naciones
国家标准	n. normas nacionales
国家森林	n. bosques nacionales
国家沟	n. Zanja Nacional
国家法官学院	n. Colegio Nacional de Jueces
国家法律	n. leyes nacionales
国家海洋局	n. Administración Estatal Oceánica
国家电力公司	n. Compañía Estatal de Energía
国家监委	n. Comisión Nacional de Supervisión
国家监督	n. supervisión nacional
国家直接投资	n. inversión directa nacional
国家科学	n. ciencia Nacional
国家管辖权	n. jurisdicción estatal
国家级	adj. nivel nacional
国家经济委员会	n. Comisión Nacional de Economía
国家经济安全	n. seguridad económica nacional
国家经济政策	n. políticas económicas nacionales
国家结构	n. estructura estatal
国家结构形式	n. formas de estructura estatal
国家统计局	n. Oficina Nacional de Estadísticas
国家编制委员会	n. Comisión Nacional de Organización
国家股	n. acción nacional
国家能源委员会	n. Comisión Nacional de Energía
国家补偿	n. compensación estatal
国家计划委员会	n. Comité Nacional de Planificación
国家计委	n. Comisión Nacional de Planificación
国家计量局	n. Oficina Nacional de Metrología
国家豁免权	n. inmunidad estatal
国家财产豁免权	n. exención de propiedad estatal
国家财政	n. finanzas nacionales
国家财政政策	n. política fiscal nacional
国家货币政策	n. política monetaria nacional
国家赔偿	n. compensación estatal
国家边界	n. fronteras nacionales
国家铁路	n. ferrocarriles Nacionales
国家银行	n. banco Nacional
国家队	n. selección nacional
国家黄金管理局	n. Administración Nacional del Oro
国宾	n. invitado de Estado
国宾馆	n. casa de huéspedes estatales
国寿大厦	n. Edificio Guoshou
国小	n. el país es pequeño
国展中心	n. Centro Nacional de Exposiciones
国师	n. preceptor Nacional
国庆	n. Día Nacional
国庆快乐	phr. Feliz Día Nacional
国庆新村	n. Nueva Aldea Guoqing
